event_name,sport,geography,typical_attendance,avg_price_usd,vip_price_usd,ticket_tier,annual_revenue_est_usd,source,price_inr
Super Bowl,American_Football,Usa,70000,500.0,10000.0,Premium,24500000.0,https://en.wikipedia.org/wiki/Super_Bowl,
FIFA World Cup Final,Soccer,Global,88000,200.0,5000.0,Mid,12320000.0,https://en.wikipedia.org/wiki/FIFA_World_Cup,
IPL Final,Cricket,India,90000,15.0,500.0,Budget,945000.0,https://en.wikipedia.org/wiki/Indian_Premier_League,
Wimbledon Final,Tennis,Uk,15000,100.0,3000.0,Mid,1050000.0,https://en.wikipedia.org/wiki/Wimbledon_Championships,
NBA Finals,Basketball,Usa,20000,200.0,5000.0,Mid,2800000.0,https://en.wikipedia.org/wiki/NBA_Finals,
UEFA Champions League Final,Soccer,Europe,75000,100.0,3000.0,Mid,5250000.0,https://en.wikipedia.org/wiki/UEFA_Champions_League_Final,
Formula One Grand Prix,Formula1,Global,200000,50.0,2000.0,Budget,7000000.0,https://en.wikipedia.org/wiki/Formula_One,
Olympics Opening Ceremony,Multi-Sport,Global,80000,500.0,20000.0,Premium,28000000.0,https://en.wikipedia.org/wiki/Summer_Olympics,
ICC Cricket World Cup Final,Cricket,Global,90000,30.0,1000.0,Budget,1890000.0,https://en.wikipedia.org/wiki/ICC_Cricket_World_Cup,
Masters Golf,Golf,Usa,50000,100.0,5000.0,Mid,3500000.0,https://en.wikipedia.org/wiki/Masters_Tournament,
US Open Tennis,Tennis,Usa,23000,100.0,3000.0,Mid,1610000.0,https://en.wikipedia.org/wiki/US_Open_(tennis),
Tour de France,Cycling,France,12000000,0.0,0.0,Budget,0.0,https://en.wikipedia.org/wiki/Tour_de_France,
Rugby World Cup Final,Rugby,Global,80000,150.0,4000.0,Mid,8400000.0,https://en.wikipedia.org/wiki/Rugby_World_Cup,
Boston Marathon,Athletics,Usa,500000,250.0,500.0,Premium,87500000.0,https://en.wikipedia.org/wiki/Boston_Marathon,
Kentucky Derby,Horse_Racing,Usa,150000,200.0,10000.0,Mid,21000000.0,https://en.wikipedia.org/wiki/Kentucky_Derby,
Australian Open Final,Tennis,Australia,15000,80.0,2000.0,Mid,840000.0,https://en.wikipedia.org/wiki/Australian_Open,
MMA UFC Pay-Per-View,Mma,Usa,20000,150.0,5000.0,Mid,2100000.0,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,
Indian Super League Final,Soccer,India,60000,10.0,200.0,Budget,420000.0,https://en.wikipedia.org/wiki/Indian_Super_League,
Pro Kabaddi League Final,Kabaddi,India,15000,5.0,100.0,Budget,52500.0,https://en.wikipedia.org/wiki/Pro_Kabaddi_League,
Hockey World Cup Final,Field_Hockey,Global,50000,20.0,500.0,Budget,700000.0,https://en.wikipedia.org/wiki/FIH_Hockey_World_Cup,
IPL,cricket,India,30000,9.0,,General Stand,,new_data_2026,750.0
IPL,cricket,India,30000,30.0,,Premium Stand,,new_data_2026,2500.0
IPL,cricket,India,30000,120.0,,VIP Box,,new_data_2026,10000.0
IPL,cricket,India,30000,6.0,,General Stand,,new_data_2026,500.0
IPL,cricket,India,30000,24.0,,Premium Stand,,new_data_2026,2000.0
IPL,cricket,India,30000,96.0,,VIP Box,,new_data_2026,8000.0
IPL,cricket,India,30000,6.0,,General Stand,,new_data_2026,500.0
IPL,cricket,India,30000,26.4,,Premium Stand,,new_data_2026,2200.0
IPL,cricket,India,30000,108.0,,VIP Box,,new_data_2026,9000.0
IPL,cricket,India,30000,7.2,,General Stand,,new_data_2026,600.0
IPL,cricket,India,30000,24.0,,Premium Stand,,new_data_2026,2000.0
IPL,cricket,India,30000,90.0,,VIP Box,,new_data_2026,7500.0
IPL,cricket,India,30000,8.4,,General Stand,,new_data_2026,700.0
IPL,cricket,India,30000,108.0,,VIP Box,,new_data_2026,9000.0
IPL,cricket,India,30000,7.8,,General Stand,,new_data_2026,650.0
ODI World Cup,cricket,India,48000,6.0,,Category D (General),,new_data_2026,500.0
ODI World Cup,cricket,India,48000,18.0,,Category C,,new_data_2026,1500.0
ODI World Cup,cricket,India,48000,36.0,,Category B,,new_data_2026,3000.0
ODI World Cup,cricket,India,48000,60.0,,Category A (Premium),,new_data_2026,5000.0
ODI World Cup,cricket,India,48000,24.0,,Category D,,new_data_2026,2000.0
ODI World Cup,cricket,India,48000,144.0,,Category A,,new_data_2026,12000.0
ODI World Cup,cricket,India,48000,36.0,,Category D,,new_data_2026,3000.0
ODI World Cup,cricket,India,48000,84.0,,Category C,,new_data_2026,7000.0
ODI World Cup,cricket,India,48000,180.0,,Category B,,new_data_2026,15000.0
ODI World Cup,cricket,India,48000,360.0,,Category A,,new_data_2026,30000.0
ODI World Cup,cricket,India,48000,0.0,,General,,new_data_2026,0.0
ODI World Cup,cricket,India,48000,0.0,,General,,new_data_2026,0.0
ODI World Cup,cricket,India,48000,0.0,,Premium,,new_data_2026,0.0
PKL,kabaddi,India,5500,1.8,,General Stand,,new_data_2026,150.0
PKL,kabaddi,India,5500,4.8,,Standard Stand,,new_data_2026,400.0
PKL,kabaddi,India,5500,9.6,,Premium Stand,,new_data_2026,800.0
PKL,kabaddi,India,5500,24.0,,VIP Box,,new_data_2026,2000.0
PKL,kabaddi,India,5500,1.44,,General Stand,,new_data_2026,120.0
PKL,kabaddi,India,5500,8.4,,Premium Stand,,new_data_2026,700.0
PKL,kabaddi,India,5500,1.2,,General Stand,,new_data_2026,100.0
PKL,kabaddi,India,5500,7.2,,Premium Stand,,new_data_2026,600.0
